email,password,role,firstName,lastName,position,team,joinDate,status
admin@rugbyauth.com,AdminPass123,admin,Jean,Dupont,Administrateur,Management,2024-01-15,active
coach@rugbyauth.com,CoachPass123,coach,Pierre,Martin,Entraîneur Principal,Staff Technique,2024-02-01,active
player@rugbyauth.com,PlayerPass123,player,Marc,Leblanc,Pilier,Première Équipe,2024-03-10,active
captain@rugbyauth.com,CaptainPass123,player,Antoine,Rousseau,Capitaine,Première Équipe,2023-09-01,active
physio@rugbyauth.com,PhysioPass123,staff,Sophie,Moreau,Kinésithérapeute,Staff Médical,2024-01-20,active
secondrow@rugbyauth.com,SecondPass123,player,Thomas,Bernard,Deuxième Ligne,Première Équipe,2024-04-05,active
scrum@rugbyauth.com,ScrumPass123,player,Lucas,Petit,Demi de Mêlée,Première Équipe,2024-02-15,active
wing@rugbyauth.com,WingPass123,player,David,Roux,Ailier,Première Équipe,2024-03-20,active
fullback@rugbyauth.com,FullPass123,player,Nicolas,Blanc,Arrière,Première Équipe,2024-01-30,active
reserve@rugbyauth.com,ReservePass123,player,Julien,Garnier,Pilier,Équipe Réserve,2024-04-01,active
assistant@rugbyauth.com,AssistPass123,coach,Marie,Vincent,Entraîneur Adjoint,Staff Technique,2024-02-10,active
doctor@rugbyauth.com,DoctorPass123,staff,Dr. François,Laurent,Médecin,Staff Médical,2024-01-10,active
